seed question,unseeded question,bm25 score,FK,TCF,,Combined
"Een (acute) bult onder de kin van mijn kat, wat kan de oorzaak zijn?","Wat kan dit zijn, 3 knobbels onder m'n kin..",1.946.687.996.907.320,0,2,,4
"Een (acute) bult onder de kin van mijn kat, wat kan de oorzaak zijn?","last van mijn heup, wat kan de oorzaak zijn?",1.899.099.872.484.410,0,0,,0
"Een (acute) bult onder de kin van mijn kat, wat kan de oorzaak zijn?",ik heb snel last van een zweetgeur onder mijn oksels. wat kan hiervan de oorzaak zijn?,1.857.566.810.932.120,0,0,,0
"Een (acute) bult onder de kin van mijn kat, wat kan de oorzaak zijn?",wat kan een bult op een kattenlip zijn?,1.846.401.382.443.980,1,1,,1
"Een (acute) bult onder de kin van mijn kat, wat kan de oorzaak zijn?",wat zijn de psychische oorzaken van spit (acute lumbago)?,1.833.946.095.143.090,0,0,,0
"Een (acute) bult onder de kin van mijn kat, wat kan de oorzaak zijn?","Onze kat kan niet meer mauwen, wat kan de oorzaak zijn?",18.240.825.290.784.000,0,1,,2
Ben je verplicht tot het betalen van een inkomensverklaring?,Ben je verplicht tot het betalen ( en daarmee kopen) van een bestelling?,2.705.170.886.557.460,0,2,,4
Ben je verplicht tot het betalen van een inkomensverklaring?,Ben je verplicht tot betalen van een bestelling die je niet hebt ontvangen?,23.959.273.070.687.500,0,1,,2
Ben je verplicht tot het betalen van een inkomensverklaring?,Ben je verplicht om alimentatie te betalen?,2.277.329.405.931.110,0,2,,4
Ben je verplicht tot het betalen van een inkomensverklaring?,Ben ik verplicht om een incasso te betalen?,20.809.347.732.429.900,0,2,,4
Ben je verplicht tot het betalen van een inkomensverklaring?,Ben ik verplicht om kostgeld te betalen?,20.683.970.148.923.400,0,1,,2
Ben je verplicht tot het betalen van een inkomensverklaring?,Ben je verplicht om facturen van 1 cent ook te betalen?,20.679.977.842.327.500,0,1,,2
Ben je verplicht tot het betalen van een inkomensverklaring?,Ben ik verplicht invoerrechten te betalen op een dvd film?,19.055.822.991.791.900,0,0,,0
Ben je verplicht tot het betalen van een inkomensverklaring?,Ben je in bepaalde beroepsgroepen verplicht pensioen te betalen aan een specifiek pensioenfonds?,1.853.788.234.722.660,0,0,,0
Ben je verplicht tot het betalen van een inkomensverklaring?,Ben ik verplicht om administatiekosten te betalen bij een doorberekende bekeuring?,18.285.402.272.930.700,0,1,,2
Ben je verplicht tot het betalen van een inkomensverklaring?,Ben je verplicht een sociaal woningsconsulent toe te laten tot je huurwoning?,1.810.405.592.092.990,0,0,,0
Ben je verplicht tot het betalen van een inkomensverklaring?,Ben je verplicht alimentatie te betalen als je DNA test weigert?,1.806.953.067.750.520,0,0,,0
Welk liedje is dit?,Welk liedje is dit?,20.770.427.243.134.000,1,1,,1
Welk liedje is dit?,Welk liedje is dit?,20.770.427.243.134.000,1,1,,1
Welk liedje is dit?,Welk liedje is dit?,20.770.427.243.134.000,1,1,,1
Welk liedje is dit?,Welk liedje is dit?,20.770.427.243.134.000,1,1,,1
Welk liedje is dit?,Welk liedje is dit?,20.770.427.243.134.000,1,1,,1
Welk liedje is dit?,Welk liedje is dit?,20.770.427.243.134.000,1,1,,1
Welk liedje is dit?,Welk liedje is dit,20.770.427.243.134.000,1,1,,1
Welk liedje is dit?,Welk liedje is dit?,20.770.427.243.134.000,1,1,,1
Welk liedje is dit?,Welk liedje is dit ?,20.770.427.243.134.000,1,1,,1
Welk liedje is dit?,Welk liedje is dit?,20.770.427.243.134.000,1,1,,1
Welk liedje is dit?,Welk liedje is dit?,20.770.427.243.134.000,1,1,,1
Weet iemand voor mij een nederlandse boek over tornado's?.,Weet iemand een goed boek voor mij?,24.421.250.149.987.400,0,1,,2
Weet iemand voor mij een nederlandse boek over tornado's?.,Weet iemand een goed boek over depressie?,2.143.293.763.710.080,0,1,,2
Weet iemand voor mij een nederlandse boek over tornado's?.,Weet iemand een boek over de Amerikaanse cultuur?,2.044.680.372.865.200,0,1,,2
Weet iemand voor mij een nederlandse boek over tornado's?.,Weet iemand nog een goed boek over abiogenese?,2.044.680.372.865.200,0,1,,2
Weet iemand voor mij een nederlandse boek over tornado's?.,Weet iemand een boek over gedrag van mensen?,2.044.680.372.865.200,0,1,,2
Weet iemand voor mij een nederlandse boek over tornado's?.,Weet iemand een spiritueel boek voor beginners?,1.955.538.792.692.320,0,1,,2
Weet iemand voor mij een nederlandse boek over tornado's?.,Weet iemand een Nederlands boek dat gaat over zielverwantschap?,19.547.422.751.377.700,0,1,,2
Weet iemand voor mij een nederlandse boek over tornado's?.,Weet iemand een leuk boek voor mijn zusje?,18.655.640.470.269.100,0,1,,2
Weet iemand voor mij een nederlandse boek over tornado's?.,Weet iemand een coole bendenaam voor mijn boek?,18.655.640.470.269.100,0,0,,0
Weet iemand voor mij een nederlandse boek over tornado's?.,waar vind je proefjes over tornado's,18.063.023.311.852.800,1,1,,1
Weet iemand voor mij een nederlandse boek over tornado's?.,"Weet iemand een goed boek over modellen, fantasie of studenten liefde",1.796.683.087.723.120,0,1,,2
"kan iemand mij advies geven ,over slikproblemen van slokdarm.ik heb steeds het gevoel dat er iets in zit wat ik niet weg geslikt krijg ,het ergste",Kan iemand mij advies geven over gymles?,27.960.252.766.462.100,0,0,,0
"kan iemand mij advies geven ,over slikproblemen van slokdarm.ik heb steeds het gevoel dat er iets in zit wat ik niet weg geslikt krijg ,het ergste",Kan iemand mij advies geven over porseleinen artikelen?,26.673.795.734.362.200,0,0,,0
"kan iemand mij advies geven ,over slikproblemen van slokdarm.ik heb steeds het gevoel dat er iets in zit wat ik niet weg geslikt krijg ,het ergste",Ik heb steeds het gevoel dat mijn slokdarm aan elkaar geplakt zit. Hoe komt dit?,26.583.178.099.303.700,1,1,,1
"kan iemand mij advies geven ,over slikproblemen van slokdarm.ik heb steeds het gevoel dat er iets in zit wat ik niet weg geslikt krijg ,het ergste",kan iemand mij advies over het niet verlengen van een arbeidscontract geven? zie extra info,25.227.158.057.981.400,0,0,,0
"kan iemand mij advies geven ,over slikproblemen van slokdarm.ik heb steeds het gevoel dat er iets in zit wat ik niet weg geslikt krijg ,het ergste",Kan iemand mij advies geven over het kopen van een rollator?,25.028.108.342.984.800,0,0,,0
"kan iemand mij advies geven ,over slikproblemen van slokdarm.ik heb steeds het gevoel dat er iets in zit wat ik niet weg geslikt krijg ,het ergste",Kan iemand mij advies geven over wat voor camera ik het best kan kopen?,2.475.568.662.318.320,0,0,,0
"kan iemand mij advies geven ,over slikproblemen van slokdarm.ik heb steeds het gevoel dat er iets in zit wat ik niet weg geslikt krijg ,het ergste",Kan iemand mij advies geven over een sim only abonnement?,24.426.096.222.184.100,0,0,,0
"kan iemand mij advies geven ,over slikproblemen van slokdarm.ik heb steeds het gevoel dat er iets in zit wat ik niet weg geslikt krijg ,het ergste",Wie kan mij advies geven?,2.417.814.559.803.200,0,0,,0
"kan iemand mij advies geven ,over slikproblemen van slokdarm.ik heb steeds het gevoel dat er iets in zit wat ik niet weg geslikt krijg ,het ergste","Ik heb het gevoel alsof er water in me oor zit, hoe krijg ik dat weg?",24.060.796.858.320.800,0,0,,0
"kan iemand mij advies geven ,over slikproblemen van slokdarm.ik heb steeds het gevoel dat er iets in zit wat ik niet weg geslikt krijg ,het ergste",ik heb nog steeds geen vriendin heeft er iemand advies voor mij?,237.871.146.079.122,0,0,,0
"kan iemand mij advies geven ,over slikproblemen van slokdarm.ik heb steeds het gevoel dat er iets in zit wat ik niet weg geslikt krijg ,het ergste",wie kan mij advies geven over het gedrag van mijn poesen?,23.674.298.674.990.800,0,0,,0
Is er censuur op de Nederlandse Radio?,Is er in de Nederlandse media enige vorm van censuur?,23.198.034.910.466.500,1,1,,1
Is er censuur op de Nederlandse Radio?,Is er ergens een Nederlandse Handleiding te vinden over PC Radio?,1.971.168.963.097.450,0,0,,0
Is er censuur op de Nederlandse Radio?,Is dit nou censuur?,18.178.210.005.262.800,0,1,,2
Is er censuur op de Nederlandse Radio?,Is er sprake van censuur in Turkije?,18.170.325.020.940.200,0,0,,0
Is er censuur op de Nederlandse Radio?,"Is censuur op bepaalde ""sites"" toegestaan in de wet?",17.584.921.316.776.500,0,1,,2
Is er censuur op de Nederlandse Radio?,Waarom is er zoveel censuur op deze site?,1.622.678.260.854.230,0,1,,2
Is er censuur op de Nederlandse Radio?,Betekenis censuur?,16.062.946.052.559.600,0,0,,0
Is er censuur op de Nederlandse Radio?,Radio ontvangen op pc via de kabel?,1.441.782.929.890.560,0,0,,0
Is er censuur op de Nederlandse Radio?,Is het verwijderen van vragen door de moderator van deze site censuur?,1.432.074.047.802.230,0,1,,2
Is er censuur op de Nederlandse Radio?,heeft Google een censuur?,14.251.435.113.021.700,0,1,,2
Is er censuur op de Nederlandse Radio?,Radio/Tv ?,14.080.102.581.748.900,0,0,,0
Waarom zou je of moeten stemmen op goeievraag?,Waarom zou je niet gaan stemmen op 9 juni?,19.985.326.292.910.800,0,0,,0
Waarom zou je of moeten stemmen op goeievraag?,Waarom zou jij niet op Job Cohen stemmen?,1.891.166.161.931.100,0,0,,0
Waarom zou je of moeten stemmen op goeievraag?,Waarom zou je niet stemmen? En...stem jij?,17.980.980.657.481.500,0,0,,0
Waarom zou je of moeten stemmen op goeievraag?,Waarom zou je moeten stoppen met roken?,1.769.747.719.941.500,0,0,,0
Waarom zou je of moeten stemmen op goeievraag?,Waarom zou je als arbeider vandaag de dag nog op de PvdA stemmen?,17.655.518.941.508.200,0,0,,0
Waarom zou je of moeten stemmen op goeievraag?,Zou beledigen toegestaan moeten zijn op goeievraag?,17.503.171.662.379.900,0,0,,0
Waarom zou je of moeten stemmen op goeievraag?,Wanneer moeten we weer stemmen?,1.685.593.635.038.550,0,0,,0
Waarom zou je of moeten stemmen op goeievraag?,Welke beveiligingen kan of zou je moeten instellen op een iPhone?,16.524.901.616.019.700,0,0,,0
Waarom zou je of moeten stemmen op goeievraag?,Waarom zou ik wasverzachters moeten gebruiken?,16.399.067.956.856.400,0,0,,0
Waarom zou je of moeten stemmen op goeievraag?,Wat zou je beter moeten lopen Move of Natal,1.597.429.734.398.530,0,0,,0
Waarom zou je of moeten stemmen op goeievraag?,Waarom zou het drugsbeleid aangescherpt moeten worden?,15.608.153.289.027.400,0,0,,0
"Als je kat dagelijks bij je computer komt liggen, raakt die computer van vlugger vervuild? Ik bedoel met haartjes.","Als je kat bij je muismatje komt liggen terwijl ik met de computer bezig ben, is dat dan een teken van vertrouwen?",20.930.460.633.872.600,0,1,,2
"Als je kat dagelijks bij je computer komt liggen, raakt die computer van vlugger vervuild? Ik bedoel met haartjes.",Heeft een witte kat vlugger kou?,20.626.374.798.894.400,0,0,,0
"Als je kat dagelijks bij je computer komt liggen, raakt die computer van vlugger vervuild? Ik bedoel met haartjes.","Als je zwanger raakt, krijg je dan mentruatie?",17.319.925.125.230.200,0,0,,0
"Als je kat dagelijks bij je computer komt liggen, raakt die computer van vlugger vervuild? Ik bedoel met haartjes.",Hoe komt het dat mijn kat niet bij me op schoot wil liggen?,17.265.438.547.443.800,0,0,,0
"Als je kat dagelijks bij je computer komt liggen, raakt die computer van vlugger vervuild? Ik bedoel met haartjes.",Is het mogelijk om knoflook te planten die aan het uitlopen is?? Ik bedoel de knoflook voor gewoon dagelijks gebruik.,15.502.862.492.323.800,0,0,,0
"Als je kat dagelijks bij je computer komt liggen, raakt die computer van vlugger vervuild? Ik bedoel met haartjes.",Wat zijn kloven? Ik bedoel die van handen en voeten,15.153.600.196.885.400,0,0,,0
"Als je kat dagelijks bij je computer komt liggen, raakt die computer van vlugger vervuild? Ik bedoel met haartjes.",hoeveel gram katten brokken gebruikt een kat dagelijks?,15.045.508.427.631.100,0,0,,0
"Als je kat dagelijks bij je computer komt liggen, raakt die computer van vlugger vervuild? Ik bedoel met haartjes.",Welke klachten komen vaak voor bij werknemers die dagelijks met computers werken?,14.932.235.730.513.500,0,0,,0
"Als je kat dagelijks bij je computer komt liggen, raakt die computer van vlugger vervuild? Ik bedoel met haartjes.",Als ik mijn computer opstart komt er een blauw scherm dat mijn computer gecrast is.,14.735.147.484.608.900,0,0,,0
"Als je kat dagelijks bij je computer komt liggen, raakt die computer van vlugger vervuild? Ik bedoel met haartjes.","Als je met metaal langs porselein gaat, krijg je vaak van die grijze strepen. Hoe komt dat?",1.443.840.046.656.370,0,0,,0
"Als je kat dagelijks bij je computer komt liggen, raakt die computer van vlugger vervuild? Ik bedoel met haartjes.","Als een biljartbal een andere raakt, vervormt die dan ook een klein beetje?",14.425.753.797.706.100,0,0,,0
hallo waar kan ik gratis games en andere applications vinden voor iphone 3gs? thanks,Wie weet leuke gratis games voor Iphone 3gs,24.805.598.377.886.700,1,1,,1
hallo waar kan ik gratis games en andere applications vinden voor iphone 3gs? thanks,wat zijn leuke spellen voor de iphone 3gs (gratis) ?,2.283.485.260.918.730,1,1,,1
hallo waar kan ik gratis games en andere applications vinden voor iphone 3gs? thanks,waar staat de s van iphone 3gs voor?,22.268.461.870.057.900,0,0,,0
hallo waar kan ik gratis games en andere applications vinden voor iphone 3gs? thanks,mijn iphone 3gs kan geen netwerken vinden wat moet ik doen?,21.546.807.905.542.700,0,0,,0
hallo waar kan ik gratis games en andere applications vinden voor iphone 3gs? thanks,waar kun je iphone 3gs hoesje kopen?,20.720.690.638.387.200,0,0,,0
hallo waar kan ik gratis games en andere applications vinden voor iphone 3gs? thanks,"hallo, hoe zet ik een film die op mijn pc staat op mijn iphone 3gs? grtz",2.019.668.410.472.650,0,0,,0
hallo waar kan ik gratis games en andere applications vinden voor iphone 3gs? thanks,waar kan ik een gekleurde iphone vinden?,19.470.756.313.192.700,0,0,,0
hallo waar kan ik gratis games en andere applications vinden voor iphone 3gs? thanks,waar kan ik gratis bladmuziek voor keyboard/piano vinden?,19.349.206.312.401.900,0,0,,0
hallo waar kan ik gratis games en andere applications vinden voor iphone 3gs? thanks,Hoe kan ik filmpjes op mn iphone 3gs zetten?,1.871.119.481.461.070,0,0,,0
hallo waar kan ik gratis games en andere applications vinden voor iphone 3gs? thanks,Waarom kan ik geen games downloaden voor gameboy4iphone?,18.643.142.465.146.700,0,1,,2
hallo waar kan ik gratis games en andere applications vinden voor iphone 3gs? thanks,waar kan ik gratis bladmuziek vinden?!,18.593.839.202.588.800,0,0,,0
Kun je manager worden van een boyband? en is het mogelijk een boy band te worden? (sims 3 showtime),Hoe noemt dit boy band ?,2.207.502.090.317.180,0,0,,0
Kun je manager worden van een boyband? en is het mogelijk een boy band te worden? (sims 3 showtime),Is het mogelijk sims 3 zonder startprogramma op te starten?,20.816.008.243.037.000,0,0,,0
Kun je manager worden van een boyband? en is het mogelijk een boy band te worden? (sims 3 showtime),is het mogelijk om sims 3 te spelen op een hp pavilion sleekbook?,19.949.377.169.240.900,0,0,,0
Kun je manager worden van een boyband? en is het mogelijk een boy band te worden? (sims 3 showtime),Een boy band leuk vinden als jongen?,19.945.697.715.917.000,0,0,,0
Kun je manager worden van een boyband? en is het mogelijk een boy band te worden? (sims 3 showtime),Kun je de sims 3 installeren zonder origin account?,19.394.414.641.267.000,0,0,,0
Kun je manager worden van een boyband? en is het mogelijk een boy band te worden? (sims 3 showtime),hoe heet de boy band in de film costa,19.027.992.024.874.100,0,0,,0
Kun je manager worden van een boyband? en is het mogelijk een boy band te worden? (sims 3 showtime),Waar is de sims 3 het goedkoopst?,1.740.522.325.492.760,0,0,,0
Kun je manager worden van een boyband? en is het mogelijk een boy band te worden? (sims 3 showtime),sims 3 doet het niet?,1.716.668.779.988.360,0,0,,0
Kun je manager worden van een boyband? en is het mogelijk een boy band te worden? (sims 3 showtime),sims 3 downloads?,17.051.497.274.310.500,0,0,,0
Kun je manager worden van een boyband? en is het mogelijk een boy band te worden? (sims 3 showtime),is de sims 3 goed voor je imac?,16.929.222.442.873.600,0,0,,0
Kun je manager worden van een boyband? en is het mogelijk een boy band te worden? (sims 3 showtime),Wat is het verschil tussen een senior manager en een regiomanager?,16.664.877.285.735.800,0,0,,0
Wat is een toxische psychose,Wat is een 'psychose' precies?,18.415.677.297.561.400,1,1,,1
Wat is een toxische psychose,Wat is een psychose precies?,18.415.677.297.561.400,1,1,,1
Wat is een toxische psychose,Wat is eigenlijk nou precies een psychose?,1.663.932.886.959.390,1,1,,1
Wat is een toxische psychose,overwinnen psychose?,14.663.776.543.849.000,0,0,,0
Wat is een toxische psychose,Wat is een psychose en hoe kom je er vanaf?,14.536.129.248.759.100,1,1,,1
Wat is een toxische psychose,Hoe onstaat een psychose?,1.433.003.991.674.450,1,1,,1
Wat is een toxische psychose,Boek over psychose,13.787.506.252.233.000,1,1,,1
Wat is een toxische psychose,Wat is het verschil tussen zwangerschapsvergiftiging en de invloed van toxische stoffen op de zwangerschap?,13.754.703.151.841.200,0,0,,0
Wat is een toxische psychose,Hoe eindigt een psychose precies?,13.565.130.944.804.600,0,1,,2
Wat is een toxische psychose,Veroorzaakt een psychose blijvend hersenletsel?,13.565.130.944.804.600,0,1,,2
Wat is een toxische psychose,Wat te doen in geval van depressie/psychose?,129.894.524.274.421,0,1,,2
Werkt water met koolzuur toevoegen aan je plantenaquarium goed als co2 toevoeging?,Waarom drinken mensen water met koolzuur erin?,2.018.370.462.612.930,0,0,,0
Werkt water met koolzuur toevoegen aan je plantenaquarium goed als co2 toevoeging?,hoeveel water moet je toevoegen aan behang plaksel?,19.189.333.132.575.100,0,0,,0
Werkt water met koolzuur toevoegen aan je plantenaquarium goed als co2 toevoeging?,Zit er veel zout in bij flesjes water met koolzuur?,17.632.498.369.590.300,0,0,,0
Werkt water met koolzuur toevoegen aan je plantenaquarium goed als co2 toevoeging?,wat zit er extra in koolzuur water,1.751.231.305.387.270,0,0,,0
Werkt water met koolzuur toevoegen aan je plantenaquarium goed als co2 toevoeging?,Werkt  goed?,17.389.071.409.964.000,0,0,,0
Werkt water met koolzuur toevoegen aan je plantenaquarium goed als co2 toevoeging?,waarom gaat het co2 gahlte stijgen als je aan het sporten bent?,16.910.531.831.240.900,0,0,,0
Werkt water met koolzuur toevoegen aan je plantenaquarium goed als co2 toevoeging?,Wie heeft er ooit bedacht koolzuur aan water toe te voegen en waarom?,1.641.243.505.306.090,0,2,,4
Werkt water met koolzuur toevoegen aan je plantenaquarium goed als co2 toevoeging?,Werkt Kinect goed?,16.349.944.372.684.400,0,0,,0
Werkt water met koolzuur toevoegen aan je plantenaquarium goed als co2 toevoeging?,Werkt clearasil goed'?,16.349.944.372.684.400,0,0,,0
Werkt water met koolzuur toevoegen aan je plantenaquarium goed als co2 toevoeging?,"Hoe komt het, dat koolzuur zich wel mengt met water en zuurstof niet?",15.653.861.180.684.300,0,1,,2
Werkt water met koolzuur toevoegen aan je plantenaquarium goed als co2 toevoeging?,Werkt frontline echt goed?,15.428.005.676.163.800,0,0,,0
tot hoe laat mag je herrie maken op vrijdag?,Vanaf hoe laat mag je ''lawaai'' maken?,21.407.919.742.643.500,0,1,,2
tot hoe laat mag je herrie maken op vrijdag?,tot hoe laat mag je 's avonds luide muziek maken met je electrische gitaar ?,19.657.879.508.628.100,1,1,,1
tot hoe laat mag je herrie maken op vrijdag?,hoe laat mag een landbouwer lawaai maken?,19.318.595.832.255.900,0,1,,2
tot hoe laat mag je herrie maken op vrijdag?,vanaf hoe laat mag je lawaai maken in de vakantie?,18.701.973.545.025.600,0,1,,2
tot hoe laat mag je herrie maken op vrijdag?,hoe vroeg mogen bouwvakkers beginnen met herrie maken?,18.174.169.948.146.800,0,1,,2
tot hoe laat mag je herrie maken op vrijdag?,Klopt het dat na 10 uur je geen herrie meer buiten mag maken?,1.806.219.677.505.140,1,1,,1
tot hoe laat mag je herrie maken op vrijdag?,Tot hoe laat mag je iemand bellen?,1.675.660.262.975.720,0,1,,2
tot hoe laat mag je herrie maken op vrijdag?,Vanaf hoe laat mag je op herdenkingsdag de vlag uithangen?,16.558.476.023.382.000,0,0,,0
tot hoe laat mag je herrie maken op vrijdag?,Verwarmingsbuizen maken herrie. Wat kan je daar aan doen?,1.654.427.979.530.260,0,0,,0
tot hoe laat mag je herrie maken op vrijdag?,Tot hoe laat zijn de supermarkten in Duitsland open op goede vrijdag (Gronau)?,16.275.715.487.469.300,0,0,,0
tot hoe laat mag je herrie maken op vrijdag?,Vanaf hoe laat is de nieuwe iPad (iPad 3) vrijdag te koop?,1.574.948.369.022.960,0,0,,0
Is er in de omgeving van de Erasmusbrug in Rotterdam een eetgelegenheid? En kan je ook voetpad die over de Erasmusbrug gaat?,Is er een dansschool in Rotterdam (of omgeving) die modern/(jazz) lessen geven in het weeend?,23.417.382.133.222.000,0,0,,0
Is er in de omgeving van de Erasmusbrug in Rotterdam een eetgelegenheid? En kan je ook voetpad die over de Erasmusbrug gaat?,Waar kan je in Rotterdam lekker eten en dan ook in een mooie omgeving zitten binnen zoiets als centerpark.,20.333.869.266.048.100,0,2,,4
Is er in de omgeving van de Erasmusbrug in Rotterdam een eetgelegenheid? En kan je ook voetpad die over de Erasmusbrug gaat?,Is er ook een dvd over de geschiedenis van het Stoom Schip Rotterdam?,20.169.448.846.382.300,0,0,,0
Is er in de omgeving van de Erasmusbrug in Rotterdam een eetgelegenheid? En kan je ook voetpad die over de Erasmusbrug gaat?,Waar kan je gratis parkeren omgeving Rotterdam Blaak?,1.996.677.519.248.490,0,0,,0
Is er in de omgeving van de Erasmusbrug in Rotterdam een eetgelegenheid? En kan je ook voetpad die over de Erasmusbrug gaat?,Wie kan mij helpen omgeving Rotterdam?,19.795.138.356.098.000,0,1,,2
Is er in de omgeving van de Erasmusbrug in Rotterdam een eetgelegenheid? En kan je ook voetpad die over de Erasmusbrug gaat?,Is er in omgeving Rotterdam/Delft een winkel die lederen basketballen verkoopt van merken zoals Spalding of Molten?,19.120.894.432.737.600,0,0,,0
Is er in de omgeving van de Erasmusbrug in Rotterdam een eetgelegenheid? En kan je ook voetpad die over de Erasmusbrug gaat?,Is er een goede eetgelegenheid in Wijk en Aalburg?,1.904.668.473.465.620,0,0,,0
Is er in de omgeving van de Erasmusbrug in Rotterdam een eetgelegenheid? En kan je ook voetpad die over de Erasmusbrug gaat?,Is er in Almere-Stad (omgeving Filmwijk) een goede tandarts die ook in de avonduren is geopend voor controles?,18.828.701.942.825.800,0,0,,0
Is er in de omgeving van de Erasmusbrug in Rotterdam een eetgelegenheid? En kan je ook voetpad die over de Erasmusbrug gaat?,Is de Primark in Hoofddorp groter dan die in Rotterdam?,18.625.624.550.623.100,0,0,,0
Is er in de omgeving van de Erasmusbrug in Rotterdam een eetgelegenheid? En kan je ook voetpad die over de Erasmusbrug gaat?,Is het voetpad over de Oranjesluizen in Amsterdam altijd open?,18.439.658.436.037.000,0,0,,0
Is er in de omgeving van de Erasmusbrug in Rotterdam een eetgelegenheid? En kan je ook voetpad die over de Erasmusbrug gaat?,Is er een documentaire die gaat over de historie van computers?,184.349.377.487.386,0,0,,0
Heeft iemand ervaring met de Htc Explorer?,Heeft iemand ervaring met de mannenpil?,2.148.959.022.191.690,0,0,,0
Heeft iemand ervaring met de Htc Explorer?,Heeft iemand ervaring met Mantra-bike?,2.093.733.910.715.790,0,0,,0
Heeft iemand ervaring met de Htc Explorer?,Heeft iemand ervaring met magnesiumcloride(olie)?,2.093.733.910.715.790,0,0,,0
Heeft iemand ervaring met de Htc Explorer?,Heeft iemand ervaring met ganglions?,2.093.733.910.715.790,0,0,,0
Heeft iemand ervaring met de Htc Explorer?,Heeft iemand ervaring met trouwshop.com ?,2.093.733.910.715.790,0,0,,0
Heeft iemand ervaring met de Htc Explorer?,Heeft iemand ervaring met #mydock?,2.093.733.910.715.790,0,0,,0
Heeft iemand ervaring met de Htc Explorer?,Heeft iemand ervaring met bedbeestjes,2.093.733.910.715.790,0,0,,0
Heeft iemand ervaring met de Htc Explorer?,Heeft iemand ervaring met www.mobielkoopjes.nl ?,2.093.733.910.715.790,0,0,,0
Heeft iemand ervaring met de Htc Explorer?,Heeft iemand ervaring met Wordpress?,2.093.733.910.715.790,0,0,,0
Heeft iemand ervaring met de Htc Explorer?,Heeft iemand ervaring met EMDR?,2.093.733.910.715.790,0,0,,0
Heeft iemand ervaring met de Htc Explorer?,Heeft iemand ervaring met www.ipodoordopjesshop.nl?,2.093.733.910.715.790,0,0,,0
Wanneer en waar is Aisha Aisha van Neopets gestorven?,Wanneer heet het gestorven of overleden?,17.345.474.007.927.500,0,0,,0
Wanneer en waar is Aisha Aisha van Neopets gestorven?,Wanneer zijn de meeste wespen in Nederland weg/gestorven?,15.056.579.923.810.600,0,0,,0
Wanneer en waar is Aisha Aisha van Neopets gestorven?,waneer is albert einstein geboren en gestorven?,14.972.839.400.553.000,0,0,,0
Wanneer en waar is Aisha Aisha van Neopets gestorven?,Werkt aanmelden bij Neopets bij niemand meer?,14.725.905.110.376.300,0,0,,0
Wanneer en waar is Aisha Aisha van Neopets gestorven?,Hoe kom ik erachter waar en hoe een bepaalde joodse gedeporteerde man is gestorven?,14.163.247.510.822.500,0,0,,0
